Language	WID_PP	WID_NP
Kewa	0.887755102040816	0.960564152662699
Kewa	0.978077571669477	0.834277556443843
Kewa	1.02090592334495	0.920170275678786
Khalkha	1.36341463414634	1.46173885447018
Khalkha	1.34924078091106	1.3259799224482
Khalkha	1.39455782312925	1.29524875178421
Khalkha	1.40362811791383	1.21275081264456
Khalkha	1.39192399049881	1.2475938973942
Khalkha	1.35758835758836	1.27897747113493
Khalkha	1.39192399049881	1.15386861201017
Khalkha	1.38630136986301	1.42614272411569
Khalkha	1.26190476190476	1.31773029912858
Khalkha	1.4021978021978	1.15188496822693
Khalkha	1.26190476190476	1.2022245799481
Khalkha	1.30851063829787	1.19317286027403
Khalkha	1.3956043956044	1.3323597066069
Khalkha	1.31930693069307	1.27830228167667
Khalkha	1.36052631578947	1.20480634116072
Khalkha	1.29767441860465	1.18360165466097
Khalkha	1.37717121588089	1.3753629181576
Khalkha	1.36941176470588	1.52503545585698
Khalkha	1.31930693069307	1.2042062870952
Khalkha	1.31235431235431	1.18461167204056
Khoekhoe	1.04127579737336	1.20700509782742
Khoekhoe	1.1171875	1.1672632105584
Khoekhoe	1.1171875	0.943494809472101
Khoekhoe	1.07401315789474	1.05838914437617
Khoekhoe	1.00398406374502	1.02370265624607
Khoekhoe	1.06189555125725	1.31035604646286
Khoekhoe	1.03992015968064	1.0428109437793
Khoekhoe	1.0647619047619	0.898431737359063
Khoekhoe	1.00398406374502	1.12236472806273
Khoekhoe	1.01747572815534	1.04635893719789
Khoekhoe	1.05591397849462	1.2182080829857
Khoekhoe	1.06175298804781	1.08626162712543
Khoekhoe	0.990421455938697	0.887846382394722
Khoekhoe	1.11276595744681	1.22379617100576
Khoekhoe	1.01217391304348	0.923069442971377
Khoekhoe	1.05591397849462	1.21787362708669
Khoekhoe	1.07822410147992	1.12029894515613
Khoekhoe	1.10722100656455	1.37269954420937
Khoekhoe	1.06189555125725	1.09489759250524
Khoekhoe	1.03853955375254	1.0810837823692
Korean	1.64772727272727	1.80875948527268
Korean	1.70486111111111	2.35315775894527
Korean	1.69281045751634	1.77045252511064
Korean	1.66013071895425	1.96695730460224
Korean	1.79874213836478	1.57044700638663
Korean	1.78397212543554	2.08200976663265
Korean	1.68923076923077	1.71000143430841
Korean	1.69281045751634	1.69446131910229
Korean	1.71468144044321	1.37733319371522
Korean	1.69760479041916	1.557533234623
Korean	1.78397212543554	1.8472210580888
Korean	1.79874213836478	1.65823665929813
Korean	1.66013071895425	1.54260211869683
Korean	1.68923076923077	1.84889972027396
Korean	1.78498293515358	1.79355605453505
Korean	1.72413793103448	1.7145385388819
Korean	2.00611620795107	1.52624286822697
Korean	1.66013071895425	1.86085735798616
Korean	1.64772727272727	1.44854651149466
Korean	1.70360110803324	1.64494073180644
Lango	1.10381355932203	1.40777708842085
Lango	1.1441647597254	1.42918902991778
Lango	1.18582375478927	0.840377862439699
Lango	1.13888888888889	1.28962388875592
Lango	1.19272727272727	0.939334485092293
Lango	1.15454545454545	1.30774388512152
Lango	1.1042471042471	0.940866149169616
Lango	1.19272727272727	0.86961437567901
Lango	1.16628701594533	1.32366222873292
Lango	1.08610567514677	1.03686846537055
Lango	1.11818181818182	1.32093314993564
Lango	1.17307692307692	1.35573276052403
Lango	1.09803921568627	1.03549493683004
Lango	1.12274368231047	0.922018756824626
Lango	1.15744680851064	1.0574909721953
Lango	1.17225950782998	1.24438978573258
Lango	1.12684989429175	1.11535951872805
Lango	1.13184584178499	1.15177958996093
Lango	1.11561866125761	1.04510118815724
Lango	1.13894324853229	1.14322166791059
Malagasy	1.1943793911007	1.51110433617666
Malagasy	1.15810276679842	1.24220471537114
Malagasy	1.11475409836066	1.07829638180659
Malagasy	1.11991434689507	1.45249349112849
Malagasy	1.15145228215768	1.19038343470231
Malagasy	1.21258134490239	1.30086506525714
Malagasy	1.10119047619048	1.00362897641276
Malagasy	1.21301775147929	0.969787278768059
Malagasy	1.26885880077369	1.09560143570233
Malagasy	1.15145228215768	1.1532164559153
Malagasy	1.14545454545455	1.08511029718957
Malagasy	1.22477064220183	1.39692004680099
Malagasy	1.20168067226891	1.02388375056693
Malagasy	1.15869980879541	1.02775072755809
Malagasy	1.13392857142857	1.06939307805759
Malagasy	1.21301775147929	1.04753860978823
Malagasy	1.15734989648033	1.0190119054073
Malagasy	1.20168067226891	1.23512186834965
Malagasy	1.15145228215768	1.12138360125769
Malagasy	1.15145228215768	1.19704817693033
Mapudungun	0.922818791946309	1.07946204840245
Mapudungun	1.03389830508475	1.35422413455194
Mapudungun	0.924219910846954	0.734164747098074
Mapudungun	0.925373134328358	0.995361491040237
Mapudungun	0.922818791946309	0.917680862253904
Mapudungun	1.06918238993711	1.29649661420014
Mapudungun	1.01398601398601	0.849151178616677
Mapudungun	0.966604823747681	0.970237077050855
Mapudungun	1.01398601398601	1.0066119424075
Mapudungun	1.00200400801603	1.01322563468957
Mapudungun	0.994402985074627	0.963761094022615
Mapudungun	1.02177858439201	0.968456619305288
Mapudungun	0.970315398886827	0.986963974704242
Mapudungun	1.02443280977312	0.927148597226622
Mapudungun	1.02443280977312	0.847081061731292
Mapudungun	1.01398601398601	0.918125181134507
Mapudungun	0.984375	0.900587248937151
Mapudungun	0.95863309352518	1.09585996557452
Mapudungun	1.01418439716312	0.880162188855507
Mapudungun	0.956896551724138	0.948238035197221
Mixtec (Chalcatongo)	0.98936170212766	1.06147707363021
Mixtec (Chalcatongo)	1.00866551126516	1.20486706189502
Mixtec (Chalcatongo)	1.04312114989733	1.04152539833722
Mixtec (Chalcatongo)	1.04263565891473	1.22924217034871
Mixtec (Chalcatongo)	1.05340699815838	0.970453332762631
Mixtec (Chalcatongo)	1.0125	1.08107281923287
Mixtec (Chalcatongo)	1.04844290657439	0.860091709068569
Mixtec (Chalcatongo)	0.972277227722772	0.997215472853951
Mixtec (Chalcatongo)	1.04647435897436	0.958739053924486
Mixtec (Chalcatongo)	1.00760456273764	0.929723599209233
Mixtec (Chalcatongo)	0.98936170212766	0.90263914971352
Mixtec (Chalcatongo)	1.0294695481336	1.15390327099791
Mixtec (Chalcatongo)	1.04647435897436	0.808766877609966
Mixtec (Chalcatongo)	1.04647435897436	0.874460584522653
Mixtec (Chalcatongo)	1.01754385964912	0.867578044404678
Mixtec (Chalcatongo)	1.05576923076923	1.15556232517123
Mixtec (Chalcatongo)	0.994241842610365	1.03847814878736
